,TCGA-19-4065-02A-11R-2005-01,TCGA-19-0957-02A-11R-2005-01,TCGA-06-0152-02A-01R-2005-01,TCGA-14-1402-02A-01R-2005-01,TCGA-14-0736-02A-01R-2005-01,TCGA-06-5410-01A-01R-1849-01,TCGA-19-5960-01A-11R-1850-01,TCGA-14-0781-01B-01R-1849-01,TCGA-02-2483-01A-01R-1849-01,TCGA-06-2570-01A-01R-1849-01
ENSG00000162892,4,0,3,2,2,211,1,26,5,3
ENSG00000287209,1,2,1,6,3,1,3,4,176,0
ENSG00000271234,0,10,0,0,0,1,237,2,5,6
ENSG00000204936,3,0,0,2,3,471,0,4,5,8
ENSG00000174697,4,7,0,0,1,145,3,5,2,26
ENSG00000129514,1,1,3,1,2,2,1,0,368,11
ENSG00000187185,1,5,1,1,0,152,0,1,0,8
ENSG00000124557,2,1,3,0,2,4,2,1,136,4
ENSG00000184895,0,0,1,0,7,0,129,20,0,0
ENSG00000264956,3,2,1,0,1,0,3,0,0,135
ENSG00000236054,2,2,0,0,2,193,3,1,1,5
ENSG00000285534,4,0,1,3,0,90,2,7,3,0
ENSG00000262539,0,1,3,2,0,1,100,1,3,2
ENSG00000235142,2,1,0,0,0,0,712,0,0,2
ENSG00000178919,0,4,0,0,0,0,1,2,184,17
ENSG00000253187,2,1,1,0,2,0,73,0,1,11
ENSG00000253308,0,1,1,2,1,0,9,0,1,81
ENSG00000287867,0,2,1,1,0,0,65,1,83,4
ENSG00000230635,0,0,3,2,0,1,0,33,9,35
ENSG00000269345,1,2,2,0,0,3,1,0,23,42
ENSG00000228304,0,4,0,1,0,0,0,0,4,63
ENSG00000273906,1,1,0,0,1,1,214,1,17,1
ENSG00000183169,3,0,1,0,0,0,0,115,0,0
ENSG00000277089,3,0,1,0,0,71,1,0,0,0
ENSG00000271584,2,0,1,1,0,7,56,2,2,0
ENSG00000286521,1,2,0,0,0,0,78,3,0,1
ENSG00000271776,0,3,0,0,0,0,31,1,24,19
ENSG00000283458,1,0,1,0,1,50,0,2,12,14
ENSG00000280118,1,1,0,0,1,0,61,5,0,2
ENSG00000205215,0,0,2,0,1,1,4,34,24,1
ENSG00000286351,0,1,0,1,0,0,2,0,0,101
ENSG00000279134,1,0,1,0,0,1,1,0,0,70
ENSG00000063515,2,0,0,0,0,0,2,0,55,5
ENSG00000164400,0,0,2,0,0,35,1,19,0,0
ENSG00000205266,1,1,0,0,0,0,1,21,21,3
ENSG00000259974,0,2,0,0,0,0,39,1,1,2
ENSG00000092377,1,0,0,0,0,0,97,1,4,1
ENSG00000242021,0,0,1,0,0,1,0,0,49,13
ENSG00000268079,1,0,0,0,0,0,0,0,10,26
ENSG00000279104,1,0,0,0,0,3,9,7,4,14
ENSG00000268104,0,0,1,0,0,1,0,25,2,8
ENSG00000233941,0,0,0,0,0,0,435,0,0,0
ENSG00000257288,0,0,0,0,0,0,0,0,1,163
ENSG00000257541,0,0,0,0,0,0,0,0,0,76
ENSG00000164438,0,0,0,0,0,0,12,0,62,1
ENSG00000287460,0,0,0,0,0,2,63,0,0,0
ENSG00000259907,0,0,0,0,0,32,1,18,0,2
ENSG00000287552,0,0,0,0,0,0,35,0,0,0
ENSG00000228886,0,0,0,0,0,1,21,1,1,4
ENSG00000277984,0,0,0,0,0,0,13,4,0,8
ENSG00000102313,0,0,0,0,0,0,0,0,23,2
ENSG00000279411,0,0,0,0,0,0,0,0,0,23
ENSG00000237759,0,0,0,0,0,0,22,0,2,1
ENSG00000168530,0,1,0,0,15,0,0,0,0,0
ENSG00000229404,3,1,0,1,20,1,1,0,0,1
ENSG00000250623,1,1,0,1,18,0,1,0,0,0
ENSG00000203690,0,1,0,16,1,0,0,0,0,0
ENSG00000230051,15,1,1,4,5,2,0,0,0,0
ENSG00000229228,0,0,0,5,17,0,0,0,0,1
ENSG00000231292,0,0,2,0,20,0,0,1,0,0
ENSG00000206702,0,0,0,4,21,0,0,0,2,0
ENSG00000287492,1,15,1,0,3,0,0,0,0,0
ENSG00000249460,3,0,7,2,8,0,0,0,0,0
ENSG00000285294,0,3,2,2,24,0,3,0,0,1
ENSG00000269504,1,1,0,0,29,2,0,1,0,1
ENSG00000254395,0,8,0,5,17,3,0,0,0,0
ENSG00000233999,0,0,0,1,26,0,1,1,0,0
ENSG00000236627,0,0,0,21,0,0,0,0,0,0
ENSG00000233517,1,2,1,0,28,0,2,1,1,0
ENSG00000232529,1,1,0,24,0,0,1,0,0,0
ENSG00000285336,21,2,2,3,2,1,0,0,1,0
ENSG00000258551,12,1,1,1,21,3,1,0,0,1
ENSG00000254750,0,0,20,1,2,0,0,0,0,0
ENSG00000230936,0,0,9,13,6,0,1,0,0,0
ENSG00000229563,33,2,1,0,0,1,0,0,2,0
ENSG00000287668,0,0,4,0,19,0,0,0,0,0
ENSG00000269506,0,30,0,0,0,1,0,0,0,0
ENSG00000253132,0,0,0,0,23,0,0,0,0,0
ENSG00000233977,0,4,0,23,15,0,2,4,0,0
ENSG00000287849,0,0,19,10,2,0,0,0,1,0
ENSG00000288545,0,6,5,4,18,1,0,1,0,0
ENSG00000220891,0,1,0,0,31,0,1,0,0,1
ENSG00000134757,26,1,10,0,2,0,3,0,0,0
ENSG00000108759,1,3,2,3,21,0,1,0,0,0
ENSG00000242076,0,1,0,4,28,2,0,0,0,0
ENSG00000184344,0,4,0,28,3,2,0,0,0,0
ENSG00000211665,0,0,1,1,38,3,0,2,0,0
ENSG00000242207,28,0,0,5,0,0,1,0,0,0
ENSG00000286481,4,2,2,4,28,1,2,1,0,0
ENSG00000215117,10,0,6,29,0,1,2,2,0,0
ENSG00000257927,27,1,0,4,10,0,0,4,0,0
ENSG00000243063,0,1,0,2,28,1,0,0,0,0
ENSG00000227255,2,0,1,0,23,0,0,0,0,0
ENSG00000253239,0,0,0,0,37,0,0,3,0,0
ENSG00000239975,0,2,0,10,20,1,0,0,0,0
ENSG00000286081,3,11,0,8,28,0,4,3,0,1
ENSG00000203907,2,3,0,0,43,1,2,2,1,1
ENSG00000256325,0,42,3,2,0,2,0,2,0,0
ENSG00000211794,5,2,35,6,0,1,2,0,1,0
ENSG00000220913,0,1,0,34,0,0,1,0,0,0
ENSG00000236081,37,1,4,0,9,0,3,2,0,1
ENSG00000233215,2,39,0,0,0,0,1,0,1,0
ENSG00000287417,0,1,1,4,37,0,2,0,1,1
ENSG00000211952,0,14,0,1,39,9,0,0,0,0
ENSG00000196406,36,0,0,0,1,0,0,0,0,1
ENSG00000186847,32,2,2,1,4,1,0,0,1,0
ENSG00000109132,0,24,0,0,12,0,0,1,0,0
ENSG00000204528,0,6,0,46,0,0,0,1,1,4
ENSG00000099399,45,0,0,0,1,1,1,0,0,1
ENSG00000249116,1,5,0,2,45,0,1,0,7,0
ENSG00000286580,0,3,0,6,36,1,1,0,2,0
ENSG00000243955,15,15,1,12,6,1,0,0,1,2
ENSG00000258932,17,1,1,8,31,0,3,0,1,5
ENSG00000112499,1,1,39,16,0,2,1,0,0,3
ENSG00000232325,49,5,1,0,3,2,0,5,0,0
ENSG00000144010,38,1,0,0,1,0,0,1,0,0
ENSG00000232370,0,1,0,0,43,1,0,0,2,0
ENSG00000278857,0,0,1,3,43,2,0,1,1,0
ENSG00000064218,18,7,2,1,34,1,1,4,3,1
ENSG00000143196,26,5,3,13,19,7,0,1,2,1
ENSG00000234261,50,1,0,2,0,2,1,1,0,0
ENSG00000227017,6,6,9,9,32,1,3,0,2,3
ENSG00000231394,3,0,1,41,22,0,4,6,1,1
ENSG00000233308,2,1,2,22,36,6,1,3,0,0
ENSG00000261399,1,5,2,26,25,2,4,0,1,0
ENSG00000224141,23,24,0,0,1,0,1,0,1,0
ENSG00000250102,43,0,0,0,0,0,0,1,0,0
ENSG00000236212,3,7,2,2,31,0,0,0,1,1
ENSG00000258712,35,0,1,0,0,0,0,0,0,0
ENSG00000278097,0,0,0,0,48,0,2,0,1,0
ENSG00000251363,1,0,1,3,44,0,0,0,3,0
ENSG00000176040,0,4,2,5,65,1,6,5,4,1
ENSG00000158485,0,0,71,0,1,4,0,3,0,1
ENSG00000144015,51,0,0,0,0,0,2,0,0,0
ENSG00000108255,5,3,3,7,48,2,2,3,1,1
ENSG00000231171,6,45,0,0,1,0,1,0,1,0
ENSG00000278473,0,0,0,0,36,0,0,0,0,0
ENSG00000229735,0,3,0,0,40,0,0,0,1,0
ENSG00000231806,12,7,3,3,46,2,1,6,1,1
ENSG00000211655,0,0,0,0,43,0,0,1,0,0
ENSG00000273367,42,10,4,7,19,1,7,1,3,2
ENSG00000262267,1,48,3,9,0,0,1,0,2,1
ENSG00000275216,50,0,2,0,1,0,0,1,0,1
ENSG00000282651,2,0,3,1,75,17,0,0,1,0
ENSG00000280693,55,2,7,1,0,4,1,0,0,0
ENSG00000171346,66,1,4,9,3,4,1,5,0,2
ENSG00000185290,7,4,4,2,57,3,3,2,1,2
ENSG00000256915,50,0,2,3,0,0,1,1,0,0
ENSG00000226806,42,1,7,0,0,0,1,0,0,0
ENSG00000233515,46,2,2,0,0,0,0,1,0,0
ENSG00000048462,1,2,4,20,55,6,4,2,0,3
ENSG00000259527,42,0,0,0,0,0,0,0,0,0
ENSG00000243944,58,2,0,0,1,0,2,0,0,1
ENSG00000251039,3,0,0,33,13,1,0,0,0,0
ENSG00000251320,40,3,0,0,0,0,0,0,0,0
ENSG00000251623,55,5,11,7,7,2,3,2,0,4
ENSG00000285675,69,6,5,3,8,10,0,0,4,0
ENSG00000211685,0,0,1,3,56,2,1,1,0,0
ENSG00000211632,0,0,0,5,69,8,0,1,1,0
ENSG00000083782,64,0,3,2,1,2,2,0,1,0
ENSG00000095917,22,18,26,9,2,4,0,1,1,1
ENSG00000173237,0,5,0,0,56,1,1,1,0,1
ENSG00000258274,3,4,6,70,12,4,8,0,4,1
ENSG00000167941,1,38,1,1,47,9,1,2,0,2
ENSG00000166391,4,1,4,0,51,0,0,2,0,1
ENSG00000250993,46,0,0,0,0,0,0,0,0,0
ENSG00000255733,0,52,3,1,5,1,1,0,0,0
ENSG00000188646,3,42,2,0,0,0,0,0,0,0
ENSG00000266088,17,3,54,3,10,6,0,2,0,1
ENSG00000286452,10,10,0,51,9,2,2,4,0,0
ENSG00000163209,0,1,0,0,43,0,0,0,0,0
ENSG00000231107,19,14,22,42,8,3,3,12,0,0
ENSG00000211664,0,0,0,0,112,25,0,5,1,0
ENSG00000211647,0,1,0,26,20,0,0,0,0,0
ENSG00000227182,0,0,0,48,0,0,0,0,0,0
ENSG00000256678,0,82,0,0,0,0,1,4,0,1
ENSG00000171517,8,36,5,13,48,12,3,0,4,2
ENSG00000264015,0,0,6,71,0,2,0,0,1,2
ENSG00000241825,0,97,2,0,0,1,5,2,1,2
ENSG00000214146,11,2,7,11,78,8,5,7,3,0
ENSG00000151365,4,9,2,11,67,1,3,6,1,2
ENSG00000287951,8,1,1,45,27,1,1,2,3,0
ENSG00000285576,8,42,0,7,32,0,2,6,1,0
ENSG00000250041,97,5,10,1,3,3,1,2,9,3
ENSG00000211747,1,2,86,6,22,8,4,6,1,0
ENSG00000205361,9,5,1,5,95,11,5,8,2,0
ENSG00000167749,4,5,2,1,75,0,0,0,8,1
ENSG00000231475,0,21,2,4,94,24,3,2,0,0
ENSG00000169393,1,3,0,4,82,0,0,2,0,8
ENSG00000258602,109,0,4,3,0,5,0,11,0,1
ENSG00000224041,0,0,0,21,79,11,0,3,0,1
ENSG00000212766,7,5,5,6,102,6,7,5,11,1
ENSG00000232258,1,11,1,15,69,4,1,1,4,2
ENSG00000234710,1,0,4,5,61,1,0,1,0,1
ENSG00000251546,0,0,3,8,71,2,1,2,1,0
ENSG00000227591,2,10,12,3,106,19,1,9,2,3
ENSG00000253497,0,0,0,5,68,3,0,0,0,0
ENSG00000202111,4,1,15,58,1,0,1,1,1,0
ENSG00000286540,56,5,3,14,27,0,3,4,2,2
ENSG00000258451,1,1,2,115,0,5,0,10,2,0
ENSG00000186910,0,0,0,0,66,0,0,0,1,0
ENSG00000254109,16,14,6,51,61,7,7,18,2,0
ENSG00000211950,1,0,0,52,75,14,1,3,5,0
ENSG00000260802,2,7,6,0,127,13,0,9,1,9
ENSG00000228358,102,6,14,10,18,4,19,0,0,2
ENSG00000163646,0,0,0,73,1,0,0,0,1,0
ENSG00000282939,7,3,50,2,87,18,5,4,2,1
ENSG00000230356,5,8,1,2,104,4,6,0,4,2
ENSG00000286722,2,4,6,3,126,2,13,1,1,10
ENSG00000228509,110,3,5,6,11,3,7,1,1,4
ENSG00000151224,3,10,5,4,114,15,2,6,0,1
ENSG00000152611,4,2,1,2,107,1,6,1,3,2
ENSG00000143297,2,5,14,13,126,32,1,4,1,1
ENSG00000232211,0,0,0,106,1,0,1,1,5,0
ENSG00000156206,7,12,9,12,129,9,6,16,8,5
ENSG00000214819,0,0,0,0,65,0,0,0,0,0
ENSG00000227496,112,0,1,7,5,4,1,2,3,0
ENSG00000143125,5,33,6,40,93,5,7,9,17,4
ENSG00000261036,95,2,1,0,0,0,0,1,1,1
ENSG00000091583,2,1,1,5,124,4,0,10,2,3
ENSG00000242371,0,1,3,5,90,3,1,0,1,0
ENSG00000264151,1,5,1,0,108,0,1,9,0,0
ENSG00000213355,1,24,93,1,0,0,4,1,1,0
ENSG00000147378,67,18,16,3,31,10,2,0,0,1
ENSG00000250387,0,9,0,1,96,2,1,1,0,2
ENSG00000236069,135,2,0,1,3,11,0,2,0,0
ENSG00000236039,151,8,3,3,8,5,1,10,3,7
ENSG00000211970,0,3,0,4,130,10,0,7,1,0
ENSG00000271239,6,10,5,10,132,2,10,8,6,4
ENSG00000137090,3,8,4,3,101,2,2,5,0,0
ENSG00000186471,6,1,5,24,112,0,7,3,6,4
ENSG00000187621,0,8,1,4,133,5,1,0,11,2
ENSG00000240671,0,0,0,4,174,38,0,1,1,0
ENSG00000261706,107,0,0,0,6,3,1,0,0,0
ENSG00000251511,40,0,0,69,0,0,0,0,3,0
ENSG00000259828,5,34,4,136,2,7,1,16,2,1
ENSG00000280411,0,4,0,58,133,38,0,3,2,0
ENSG00000146276,185,6,5,0,0,0,0,3,16,7
ENSG00000055957,8,32,3,17,129,14,0,12,2,6
ENSG00000287372,0,16,5,16,142,10,0,15,2,2
ENSG00000253819,5,21,8,13,135,7,2,12,6,2
ENSG00000160180,3,98,11,9,76,12,7,3,7,1
ENSG00000134160,18,162,2,8,3,10,4,2,0,5
ENSG00000181617,0,0,3,0,121,4,0,1,0,0
ENSG00000181541,1,5,17,0,165,2,2,23,1,2
ENSG00000172482,9,201,2,9,6,4,2,9,12,6
ENSG00000184350,9,32,29,14,116,13,10,1,6,0
ENSG00000118231,8,78,29,24,14,1,3,3,0,1
ENSG00000240476,187,1,2,1,0,4,0,9,3,3
ENSG00000099937,31,6,165,18,7,7,3,5,9,6
ENSG00000120937,6,134,2,6,1,0,1,4,0,1
ENSG00000163825,1,0,0,0,102,0,0,1,0,0
ENSG00000226690,7,5,0,2,133,1,5,1,1,1
ENSG00000123977,44,3,13,6,195,22,6,17,19,6
ENSG00000185640,153,0,1,0,0,1,1,4,0,1
ENSG00000254092,70,25,18,51,64,23,9,0,0,3
ENSG00000211946,1,1,1,3,157,4,6,2,1,0
ENSG00000205002,3,5,4,6,177,5,3,4,1,12
ENSG00000271824,32,6,217,13,7,7,3,13,10,11
ENSG00000211935,1,1,8,2,232,51,1,0,3,0
ENSG00000248874,1,2,5,0,156,3,0,0,0,8
ENSG00000158639,174,2,1,0,0,2,1,2,3,2
ENSG00000113722,198,2,5,8,11,6,1,12,3,4
ENSG00000182111,1,0,0,205,0,1,0,1,17,1
ENSG00000223350,0,0,0,6,166,9,2,1,1,0
ENSG00000169550,106,0,0,0,0,0,0,0,0,0
ENSG00000211637,9,0,14,35,235,74,1,3,3,2
ENSG00000260135,128,4,119,12,0,14,5,5,1,10
ENSG00000163751,7,54,2,140,49,26,0,3,9,1
ENSG00000286404,0,1,53,82,37,2,1,0,1,4
ENSG00000064195,211,3,4,6,18,8,7,4,8,1
ENSG00000171345,262,11,11,10,27,10,9,17,2,24
ENSG00000138395,159,17,3,15,118,5,14,19,7,22
ENSG00000287872,159,47,2,5,3,1,3,2,4,5
ENSG00000264345,10,10,13,82,207,9,29,32,1,13
ENSG00000267448,114,1,1,0,0,0,0,0,0,0
ENSG00000224594,278,2,3,5,7,10,14,9,5,6
ENSG00000211976,0,0,34,1,247,54,1,0,0,1
ENSG00000288525,1,1,22,140,0,1,1,1,1,0
ENSG00000259518,127,36,2,2,3,1,0,0,1,2
ENSG00000172236,87,60,88,35,12,14,1,2,10,6
ENSG00000214145,8,16,6,4,176,1,2,7,1,4
ENSG00000143512,204,3,21,8,94,8,7,34,7,6
ENSG00000197253,100,83,82,33,18,13,4,4,9,11
ENSG00000250748,242,2,3,3,1,1,0,3,12,2
ENSG00000233560,10,234,5,3,1,4,2,2,4,5
ENSG00000073282,18,5,50,31,223,20,6,8,5,23
ENSG00000204894,0,17,2,2,300,2,3,59,4,3
ENSG00000253998,0,0,0,1,160,1,0,1,1,0
ENSG00000222022,190,2,1,0,0,3,0,2,0,0
ENSG00000224063,3,256,0,4,48,6,2,2,13,10
ENSG00000145040,326,8,31,10,3,15,0,27,4,11
ENSG00000135374,47,6,2,6,318,41,6,40,2,1
ENSG00000229056,234,0,15,4,3,3,6,3,1,0
ENSG00000186973,2,4,15,129,229,13,21,25,19,0
ENSG00000214285,148,4,6,69,11,4,0,0,2,3
ENSG00000248475,1,5,0,1,207,3,3,1,0,1
ENSG00000179300,229,1,2,0,0,2,0,0,5,0
ENSG00000223812,62,6,17,182,112,8,19,0,12,18
ENSG00000117322,1,5,4,0,249,11,2,1,1,2
ENSG00000198074,41,16,7,12,345,11,1,72,13,6
ENSG00000243238,1,0,1,56,363,93,0,4,1,2
ENSG00000164458,1,1,15,200,0,1,0,0,0,3
ENSG00000172116,33,24,68,142,131,17,6,13,16,5
ENSG00000283787,334,86,64,10,5,35,0,27,10,18
ENSG00000039537,129,98,12,45,4,6,1,5,1,0
ENSG00000118156,17,18,12,62,257,7,14,5,6,12
ENSG00000254337,223,0,2,2,0,0,0,3,0,0
ENSG00000211964,3,5,0,26,417,52,42,3,1,0
ENSG00000130427,11,260,9,15,86,5,15,5,4,8
ENSG00000251372,18,10,9,326,60,22,22,3,2,10
ENSG00000163792,6,126,8,66,272,11,55,13,9,5
ENSG00000197587,13,233,26,24,201,34,9,15,20,16
ENSG00000249001,185,19,10,87,279,40,0,71,2,32
ENSG00000211670,0,0,0,12,249,1,0,0,6,0
ENSG00000278196,1,10,3,29,391,56,0,9,0,2
ENSG00000111981,88,406,16,23,41,17,8,49,13,17
ENSG00000196616,3,6,8,469,15,20,19,4,2,30
ENSG00000275874,352,6,0,1,32,28,1,0,0,0
ENSG00000243290,0,0,7,83,292,29,0,6,2,1
ENSG00000034239,60,10,22,39,486,13,48,46,63,9
ENSG00000211966,1,9,6,103,372,75,1,8,5,0
ENSG00000242766,0,0,0,115,117,0,0,0,2,0
ENSG00000198573,197,0,0,0,1,0,0,0,0,0
ENSG00000269404,4,5,58,6,350,14,9,15,4,4
ENSG00000117215,4,17,404,4,27,21,0,5,2,7
ENSG00000140798,21,14,12,12,308,1,7,1,5,8
ENSG00000162598,186,151,88,39,116,12,26,23,14,11
ENSG00000256193,130,6,73,155,192,12,63,3,1,4
ENSG00000225684,440,33,16,114,24,24,16,19,25,14
ENSG00000272763,314,1,0,13,3,4,1,1,0,1
ENSG00000197614,381,52,6,46,187,15,35,46,34,6
ENSG00000222032,305,1,2,2,0,1,0,3,0,0
ENSG00000228314,18,0,7,11,439,34,6,6,0,4
ENSG00000173077,470,25,29,67,64,29,10,51,10,6
ENSG00000140459,276,158,26,67,250,95,26,32,5,14
ENSG00000160183,318,111,142,97,73,18,76,10,6,12
ENSG00000151882,42,58,42,37,451,34,23,15,12,11
ENSG00000106128,8,18,12,21,526,8,37,12,8,11
ENSG00000231817,13,166,3,100,412,6,36,49,28,6
ENSG00000121570,11,30,12,23,563,42,7,16,18,19
ENSG00000079101,42,63,19,6,517,28,7,47,5,16
ENSG00000157330,16,21,8,64,508,6,14,25,22,18
ENSG00000211625,1,9,1,5,487,38,0,3,0,0
ENSG00000118271,4,4,0,1,390,2,0,1,7,1
ENSG00000276566,1,0,0,119,482,59,0,6,6,0
ENSG00000163331,25,8,5,25,618,4,17,20,58,10
ENSG00000223485,554,6,7,13,7,22,1,5,5,3
ENSG00000213058,254,10,12,28,390,29,27,17,9,8
ENSG00000108700,102,53,97,200,493,145,9,27,31,23
ENSG00000287064,8,46,58,4,612,5,58,3,27,11
ENSG00000211959,7,27,4,47,763,159,1,15,13,1
ENSG00000178776,476,13,0,4,4,1,1,4,5,2
ENSG00000287560,86,562,33,106,127,23,29,9,47,32
ENSG00000211947,0,4,10,43,919,241,2,1,8,3
ENSG00000211942,5,0,0,429,22,6,0,0,0,1
ENSG00000006453,889,27,35,11,15,64,16,25,22,20
ENSG00000046774,45,603,1,2,19,0,0,0,34,1
ENSG00000187980,34,25,17,32,716,72,7,33,5,7
ENSG00000233098,206,14,8,25,667,21,4,58,50,32
ENSG00000228742,528,2,33,0,4,2,0,7,7,0
ENSG00000185686,25,26,21,25,756,21,17,26,14,43
ENSG00000172724,2,2,877,16,186,108,11,1,2,46
ENSG00000110680,6,3,2,1,562,15,0,3,4,2
ENSG00000211640,2,11,6,27,802,48,1,68,2,1
